GENE,Num Expt,Total,Max SC,Ave SC,Frequency
HSPA1A,328,343,331,35.0,95.6
HSPA1B,328,343,331,35.0,95.6
HSPA8,328,343,332,31.6,95.6
HSPA1L,322,343,189,18.4,93.9
TUBA1A,321,343,299,29.1,93.6
TUBA1B,321,343,314,31.8,93.6
TUBA1C,321,343,281,29.9,93.6
KRT1,320,343,1178,81.1,93.3
HSPA2,318,343,167,12.9,92.7
TUBA3C,318,343,242,23.3,92.7
TUBA3D,318,343,242,23.3,92.7
TUBA3E,316,343,227,20.4,92.1
TUBB,314,343,338,31.4,91.5
HSPA6,313,343,159,11.7,91.3
TUBA4A,309,343,242,22.7,90.1
TUBA8,308,343,175,16.9,89.8
TUBB2C,308,343,310,25.6,89.8
TUBB2A,304,343,299,22.6,88.6
TUBB2B,304,343,301,22.8,88.6
KRT2,298,343,629,44.4,86.9
TUBB4,298,343,248,19.3,86.9
KRT10,297,343,824,67.9,86.6
TUBB3,296,343,172,17.6,86.3
ACTB,295,343,716,35.0,86.0
ACTG1,295,343,716,35.0,86.0
HSPA5,292,343,108,12.8,85.1
ACTA1,286,343,357,19.0,83.4
ACTC1,286,343,357,19.1,83.4
ACTA2,283,343,294,17.5,82.5
ACTG2,283,343,293,17.4,82.5
POTEF,283,343,193,10.7,82.5
EEF1A1,282,343,160,15.9,82.2
KRT9,281,343,699,50.0,81.9
EEF1A2,275,343,109,10.1,80.2
KRT77,268,343,163,7.4,78.1
KRT6B,266,343,320,21.6,77.6
ACTBL2,261,343,129,8.8,76.1
POTEI,252,343,158,7.7,73.5
TUBB6,249,343,94,10.3,72.6
POTEJ,240,343,134,7.2,70.0
HSPA9,239,343,159,13.1,69.7
KRT28,235,343,227,11.3,68.5
HIST1H1C,234,343,76,8.5,68.2
HIST1H1E,234,343,76,8.5,68.2
KRT6A,234,343,215,20.6,68.2
KRT6C,234,343,212,20.2,68.2
HIST1H1D,233,343,75,8.1,67.9
KRT5,232,343,223,23.5,67.6
KRT14,230,343,282,24.5,67.1
TUBB1,224,343,62,6.2,65.3
KRT75,221,343,80,9.9,64.4
HNRNPK,220,343,143,11.9,64.1
KRT16,220,343,243,22.3,64.1
KRT25,218,343,156,8.7,63.6
KRT27,218,343,156,8.7,63.6
RPS27A,213,343,90,5.4,62.1
HNRNPU,212,343,256,14.1,61.8
HSP90AB1,211,343,278,22.8,61.5
H2AFJ,206,343,217,10.4,60.1
HIST1H2AB,206,343,217,10.1,60.1
HIST1H2AC,206,343,217,10.2,60.1
HIST1H2AD,206,343,217,10.2,60.1
HIST1H2AE,206,343,217,10.1,60.1
HIST1H2AG,206,343,217,10.4,60.1
HIST1H2AH,206,343,217,10.4,60.1
HIST1H2AI,206,343,217,10.4,60.1
HIST1H2AJ,206,343,217,10.4,60.1
HIST1H2AK,206,343,217,10.4,60.1
HIST1H2AL,206,343,217,10.4,60.1
HIST1H2AM,206,343,217,10.4,60.1
HIST2H2AA3,206,343,218,10.5,60.1
HIST2H2AA4,206,343,218,10.5,60.1
HIST2H2AC,206,343,218,10.5,60.1
HIST3H2A,206,343,217,10.1,60.1
HSP90AA1,206,343,219,21.5,60.1
KRT79,205,343,83,8.9,59.8
UBA52,202,343,90,5.5,58.9
HNRNPA1,201,343,48,6.8,58.6
VIM,201,343,754,34.6,58.6
RPS3,200,343,56,10.2,58.3
UBB,200,343,90,5.5,58.3
UBC,200,343,90,5.5,58.3
KRT17,198,343,121,14.6,57.7
RPS14,198,343,33,4.1,57.7
HNRNPA2B1,197,343,56,9.7,57.4
HNRNPH1,195,343,201,14.5,56.9
NCL,195,343,99,11.7,56.9
GAPDH,190,343,97,9.4,55.4
KRT19,190,343,151,11.2,55.4
HNRNPH2,189,343,83,7.4,55.1
KRT13,188,343,126,11.5,54.8
KRT15,188,343,102,10.4,54.8
RPS18,187,343,40,5.3,54.5
HNRNPA1L2,186,343,29,5.1,54.2
PRDX1,186,343,44,5.7,54.2
NPM1,184,343,100,6.6,53.6
YBX1,184,343,101,6.7,53.6
DDX5,182,343,86,7.8,53.1
H2AFV,182,343,156,6.8,53.1
H2AFZ,182,343,156,6.8,53.1
KRT18,182,343,311,12.5,53.1
KRT76,181,343,87,10.0,52.8
PKM2,181,343,181,14.9,52.8
KRT8,178,343,528,16.9,51.9
RPL23,178,343,48,4.8,51.9
HNRNPF,176,343,58,7.5,51.3
RPL23A,176,343,30,4.7,51.3
DDX17,174,343,80,8.2,50.7
HIST1H1A,173,343,32,4.3,50.4
HIST1H1T,172,343,32,4.0,50.1
H2AFX,171,343,142,7.3,49.9
TUBAL3,171,343,22,3.3,49.9
HIST1H2AA,170,343,139,7.0,49.6
KRT24,167,343,97,7.1,48.7
RPL13,166,343,49,5.3,48.4
RPLP2,166,343,117,6.5,48.4
RPS4X,166,343,58,9.2,48.4
C1QBP,165,343,381,9.6,48.1
HIST1H4A,164,343,316,15.2,47.8
HIST1H4B,164,343,316,15.2,47.8
HIST1H4C,164,343,316,15.2,47.8
HIST1H4D,164,343,316,15.2,47.8
HIST1H4E,164,343,316,15.2,47.8
HIST1H4F,164,343,316,15.2,47.8
HIST1H4H,164,343,316,15.2,47.8
HIST1H4I,164,343,316,15.2,47.8
HIST1H4J,164,343,316,15.2,47.8
HIST1H4K,164,343,316,15.2,47.8
HIST1H4L,164,343,316,15.2,47.8
HIST2H2AB,164,343,50,4.7,47.8
HIST2H4A,164,343,316,15.2,47.8
HIST2H4B,164,343,316,15.2,47.8
HIST4H4,164,343,316,15.2,47.8
HSPD1,163,343,165,11.9,47.5
RPS8,163,343,51,6.7,47.5
SLC25A5,162,343,58,6.2,47.2
HNRNPM,161,343,149,15.6,46.9
HIST1H2BB,160,343,150,15.4,46.6
HIST1H2BC,160,343,154,16.1,46.6
HIST1H2BD,160,343,154,16.1,46.6
HIST1H2BE,160,343,154,16.1,46.6
HIST1H2BF,160,343,154,16.1,46.6
HIST1H2BG,160,343,154,16.1,46.6
HIST1H2BH,160,343,154,16.1,46.6
HIST1H2BI,160,343,154,16.1,46.6
HIST1H2BJ,160,343,150,15.4,46.6
HIST1H2BK,160,343,154,16.1,46.6
HIST1H2BL,160,343,153,16.1,46.6
HIST1H2BM,160,343,154,16.1,46.6
HIST1H2BN,160,343,154,16.1,46.6
HIST1H2BO,160,343,150,15.4,46.6
HIST2H2BE,160,343,150,15.4,46.6
HIST2H2BF,160,343,154,16.1,46.6
HIST3H2BB,160,343,145,15.0,46.6
FLNA,158,343,305,25.2,46.1
KRT4,156,343,43,4.9,45.5
DCD,155,343,45,4.4,45.2
ENO1,155,343,163,15.6,45.2
RPS25,154,343,18,3.8,44.9
HNRNPD,153,343,28,3.4,44.6
NONO,152,343,386,17.8,44.3
RPL19,152,343,67,3.9,44.3
KRT26,150,343,92,7.3,43.7
RPLP0,149,343,47,7.5,43.4
RPL11,148,343,20,3.1,43.1
RPL4,148,343,81,9.2,43.1
ATP5A1,147,343,83,8.0,42.9
RPL7A,147,343,48,6.5,42.9
RPS16,147,343,42,5.8,42.9
